Date,Age,Tank_ID,Parental_treatment,Tube_ID,length_um
20190325,08_days,T0,var.pH,200,94.687
20190325,08_days,T0,var.pH,200,111.423
20190325,08_days,T0,var.pH,200,99.474
20190325,08_days,T0,var.pH,200,89.162
20190325,08_days,T0,var.pH,200,80.059
20190325,08_days,T0,var.pH,200,117.578
20190325,08_days,T0,var.pH,200,120.426
20190325,08_days,T0,var.pH,200,112.411
20190325,08_days,T0,var.pH,200,129.353
20190325,08_days,T0,var.pH,200,151.64
20190325,08_days,T2,ambient,204,119.948
20190325,08_days,T2,ambient,204,83.001
20190325,08_days,T2,ambient,204,115.888
20190325,08_days,T2,ambient,204,115.692
20190325,08_days,T2,ambient,204,127.909
20190325,08_days,T2,ambient,204,100.79
20190325,08_days,T2,ambient,204,101.456
20190325,08_days,T2,ambient,204,91.732
20190325,08_days,T2,ambient,204,90.291
20190325,08_days,T2,ambient,204,110.819
20190325,08_days,T2,ambient,204,108.749
20190325,08_days,T2,ambient,204,94.467
20190325,08_days,T2,ambient,204,136.379
20190325,08_days,T2,ambient,204,113.019
20190325,08_days,T2,ambient,204,110.011
20190325,08_days,T2,ambient,204,85.753
20190329,12_days,T1,ambient,208,141.384
20190329,12_days,T1,ambient,208,115.731
20190329,12_days,T1,ambient,208,147.499
20190329,12_days,T1,ambient,208,133.434
20190329,12_days,T1,ambient,208,133.657
20190329,12_days,T1,ambient,208,93.522
20190329,12_days,T1,ambient,208,126.974
20190329,12_days,T1,ambient,208,150.739
20190329,12_days,T1,ambient,208,134.545
20190329,12_days,T1,ambient,208,135.34
20190329,12_days,T1,ambient,208,127.165
20190329,12_days,T1,ambient,208,121.121
20190329,12_days,T1,ambient,208,133.194
20190329,12_days,T1,ambient,208,130.499
20190329,12_days,T1,ambient,208,121.797
20190329,12_days,T1,ambient,208,118.669
20190329,12_days,T2,ambient,210,124.875
20190329,12_days,T2,ambient,210,126.331
20190329,12_days,T2,ambient,210,129.844
20190329,12_days,T2,ambient,210,120.858
20190329,12_days,T2,ambient,210,138.67
20190329,12_days,T2,ambient,210,107.69
20190329,12_days,T2,ambient,210,110.175
20190329,12_days,T2,ambient,210,129.382
20190329,12_days,T2,ambient,210,119.595
20190329,12_days,T2,ambient,210,137.018
20190329,12_days,T2,ambient,210,97.066
20190329,12_days,T2,ambient,210,113.684
20190329,12_days,T2,ambient,210,112.408
20190329,12_days,T2,ambient,210,107.451
20190329,12_days,T2,ambient,210,117.484
20190329,12_days,T2,ambient,210,134.247
20190329,12_days,T2,ambient,210,126.005
20190329,12_days,T2,ambient,210,111.431
20190329,12_days,T2,ambient,210,108.633
20190329,12_days,T3,var.pH,212,137.844
20190329,12_days,T3,var.pH,212,147.613
20190329,12_days,T3,var.pH,212,133.843
20190329,12_days,T3,var.pH,212,129.948
20190329,12_days,T3,var.pH,212,146.383
20190329,12_days,T3,var.pH,212,160.127
20190329,12_days,T3,var.pH,212,164.345
20190329,12_days,T3,var.pH,212,143.452
